audio_path,拼音漢字,漢字拼音
data/dataset_2/熱身賽_錄製語料_詔安腔_4H/ZM203P2027/ZM203P2027_011.wav,bbue55 rhung55 mo53 m11 bboi55 rhung55 || 會用無毋會用,會用無毋會用 || bbue55 rhung55 mo53 m11 bboi55 rhung55
data/dataset_2/熱身賽_錄製語料_詔安腔_4H/ZF214P2102/ZF214P2102_110.wav,hio55 le31 bai31 sam11 oo31 gi31 le24 gau11 zoo24 rhiab43 || 後禮拜三愛記得交作業,後禮拜三愛記得交作業 || hio55 le31 bai31 sam11 oo31 gi31 le24 gau11 zoo24 rhiab43
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203K2001/DM203K2001_091.wav,a33 ne31 gai33 so31 shi113 dab21 dab21 pui113 ngai113 ngi53 shib54 hon113 chu31 || 阿奶个鎖匙搭搭陪𠊎二十寒暑,阿奶个鎖匙搭搭陪𠊎二十寒暑 || a33 ne31 gai33 so31 shi113 dab21 dab21 pui113 ngai113 ngi53 shib54 hon113 chu31
data/dataset_2/熱身賽_錄製語料_詔安腔_4H/ZF209Q2003/ZF209Q2003_045.wav,ti55 ngi55 ngid24 da31 zoo31 ngai53 ngin53 sam11 gai31 zoo31 id24 ha55 lung31 mo53 cheed24 niau55 || 第二日打早𠊎人三個做一下攏無疶尿,第二日打早𠊎人三個做一下攏無疶尿 || ti55 ngi55 ngid24 da31 zoo31 ngai53 ngin53 sam11 gai31 zoo31 id24 ha55 lung31 mo53 cheed24 niau55
data/dataset_2/熱身賽_錄製語料_詔安腔_4H/ZM304Q2002/ZM304Q2002_034.wav,bun31 loi53 he55 ka24 ga11 bu11 ngiong53 ngin53 rhung55 gui53 len53 ua55 e55 tio53 nau31 || 本來係客家夫娘人用佢靈活个頭腦,本來係客家夫娘人用佢靈活个頭腦 || bun31 loi53 he55 ka24 ga11 bu11 ngiong53 ngin53 rhung55 gui53 len53 ua55 e55 tio53 nau31
data/dataset_2/熱身賽_媒體語料_詔安腔_1H/3jcnoktnzy.wav,ga24 he55 dng11 rhen53 hoo31 shied43 a33 || 遐係當然好食啊,遐係當然好食啊 || ga24 he55 dng11 rhen53 hoo31 shied43 a33
data/dataset_2/熱身賽_媒體語料_詔安腔_1H/mv8qk8r3gl.wav,o11 fai55 a33 ong53 gud24 zhen31 tui55 bien31 shin11 || 哦壞啊王國戰隊變身,哦壞啊王國戰隊變身 || o11 fai55 a33 ong53 gud24 zhen31 tui55 bien31 shin11
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DF206J2062/DF206J2062_023.wav,gim33 bi33 ngid21 tien33 shi113 i53 ho31 || 今晡日天時已好,今晡日天時已好 || gim33 bi33 ngid21 tien33 shi113 i53 ho31
data/dataset_2/熱身賽_錄製語料_詔安腔_4H/ZF214P2102/ZF214P2102_040.wav,ngai53 zhin11 oi31 shed43 ciang11 coi31 || 𠊎真愛食青菜,𠊎真愛食青菜 || ngai53 zhin11 oi31 shed43 ciang11 coi31
data/dataset_2/熱身賽_錄製語料_詔安腔_4H/ZM203Q2004/ZM203Q2004_090.wav,ban31 deen31 doo55 mo53 chin55 siong55 too31 shied43 rhiu55 zoo31 zoo31 ba24 m11 bboi55 ki31 loi53 || 半點都無伸想討食又早早跋毋會起來,半點都無伸想討食又早早跋毋會起來 || ban31 deen31 doo55 mo53 chin55 siong55 too31 shied43 rhiu55 zoo31 zoo31 ba24 m11 bboi55 ki31 loi53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DF206J2062/DF206J2062_169.wav,giam31 ca113 bo53 go53 tai53 rhog21 oi33 den31 shib54 bad21 fun33 zhung33 ciang31 hn113 sien33 co33 rhid21 ha53 || 檢查報告大約愛等十八分鐘請你先坐一下,檢查報告大約愛等十八分鐘請你先坐一下 || giam31 ca113 bo53 go53 tai53 rhog21 oi33 den31 shib54 bad21 fun33 zhung33 ciang31 hn113 sien33 co33 rhid21 ha53
